label,ecmp,hedera,nonblocking
stag0(0.2,0.3),148.908037,204.201969,75.369353
stag1(0.2,0.3),263.515119,274.065501,89.833310
stag2(0.2,0.3),252.265934,273.090903,98.712334
stag0(0.5,0.3),160.025306,163.849086,90.302172
stag1(0.5,0.3),210.474408,186.796080,97.576820
stag2(0.5,0.3),166.257251,236.308935,98.665802
stride1,141.311094,95.462790,13.991891
stride2,158.661378,102.296010,29.901280
stride4,202.205887,289.401016,65.813975
stride8,228.222917,453.606911,97.228487
rand0,168.449151,218.333927,75.534056
rand1,197.212082,241.602907,75.898659
rand2,214.659024,282.639356,84.796636
randbij0,225.215352,313.659106,106.222794
randbij1,243.563879,310.382266,90.575475
randbij2,189.944247,305.482098,105.701582
randx2,290.903267,277.617867,103.953478
randx3,296.018464,254.979305,92.831045
randx4,295.368022,230.336852,86.412730
hotspot,198.506445,264.115943,61.837935
