label,ecmp,hedera,nonblocking
stag0(0.2,0.3),219.308014,245.925131,93.537176
stag1(0.2,0.3),240.507583,300.940905,131.780695
stag2(0.2,0.3),265.575571,339.780993,102.582473
stag0(0.5,0.3),239.195795,241.999658,112.124747
stag1(0.5,0.3),176.585349,276.512417,112.103557
stag2(0.5,0.3),271.507202,249.941879,112.521867
stride1,92.117445,54.063780,16.983352
stride2,164.094201,153.320962,36.430415
stride4,206.800001,293.752014,75.315072
stride8,392.905747,470.897704,130.217873
rand0,266.901399,278.212138,85.482318
rand1,243.406620,322.130350,94.534345
rand2,235.253357,339.341643,113.113328
randbij0,286.954251,381.551564,132.469450
randbij1,307.420399,374.718297,113.136694
randbij2,263.119957,403.995810,131.379147
randx2,371.466136,285.463547,129.786292
randx3,374.782361,321.836916,115.626297
randx4,364.714241,297.871812,110.247445
hotspot,208.848040,270.361749,85.904572
