label,ecmp,hedera,nonblocking
stag0(0.2,0.3),249.778333,288.892110,120.566799
stag1(0.2,0.3),358.601908,335.036791,120.665144
stag2(0.2,0.3),217.063392,338.824327,122.065198
stag0(0.5,0.3),242.572109,209.603818,101.987320
stag1(0.5,0.3),228.776999,286.708308,112.292004
stag2(0.5,0.3),223.726010,240.643195,121.619573
stride1,92.369084,118.790150,17.731371
stride2,93.711956,250.688239,27.503240
stride4,245.530424,322.761868,65.295682
stride8,295.538633,562.044118,138.259501
rand0,302.143787,275.116131,81.434063
rand1,285.552826,254.696543,84.788189
rand2,294.582639,332.321912,103.325990
randbij0,352.496494,405.797259,131.437575
randbij1,212.676253,377.695965,111.097279
randbij2,244.149627,401.568640,130.144685
randx2,373.695086,338.373893,122.043090
randx3,382.291546,324.120776,112.536946
randx4,328.399666,268.867746,105.602586
hotspot,268.892320,290.921492,76.453109
