label,ecmp,hedera,nonblocking
stag0(0.2,0.3),1242.443822,1080.045666,504.015111
stag1(0.2,0.3),1430.259681,1507.669601,500.598158
stag2(0.2,0.3),1198.225450,1519.129175,546.301078
stag0(0.5,0.3),1040.036374,951.452733,548.545854
stag1(0.5,0.3),1163.922871,1151.127541,504.271121
stag2(0.5,0.3),974.460396,1085.331388,465.157409
stride1,449.243495,449.683977,79.982970
stride2,814.864365,1021.068461,113.567129
stride4,946.561776,1309.326079,330.742817
stride8,1625.019687,1926.393402,621.579742
rand0,895.429910,1064.624293,316.392688
rand1,1175.844549,1382.761187,318.689626
rand2,1336.333905,1614.108397,502.783706
randbij0,907.957160,1433.548455,598.431751
randbij1,1377.309265,1537.593324,550.149684
randbij2,1430.009672,1633.606981,588.582698
randx2,1565.662298,1487.671255,579.708322
randx3,1441.975621,1323.183309,530.575805
randx4,1287.136261,1109.356185,487.553057
hotspot,1165.845773,1514.931970,379.100416
