label,ecmp,hedera,nonblocking
stag0(0.2,0.3),87.093635,70.646733,50.070473
stag1(0.2,0.3),125.710911,134.363094,49.648896
stag2(0.2,0.3),94.730031,139.261047,49.992787
stag0(0.5,0.3),85.613706,98.353536,45.644763
stag1(0.5,0.3),117.668755,123.156739,46.244847
stag2(0.5,0.3),90.957737,115.304156,46.412289
stride1,41.926955,46.024570,0.000405
stride2,69.682127,66.283299,19.309678
stride4,62.929943,116.693507,27.135619
stride8,147.634244,205.999539,57.487133
rand0,92.748584,100.436702,37.441683
rand1,87.926473,87.804743,38.690928
rand2,115.456892,132.066770,45.755948
randbij0,97.596056,171.293232,45.845212
randbij1,124.302589,166.100264,53.667852
randbij2,128.297185,154.631756,53.678820
randx2,157.906036,141.991035,52.978895
randx3,152.845022,126.204669,48.217939
randx4,153.395584,140.138025,46.697954
hotspot,112.564715,125.593165,31.506025
