label,ecmp,hedera,nonblocking
stag0(0.2,0.3),360.777834,275.926092,162.884857
stag1(0.2,0.3),435.968859,518.645668,221.118696
stag2(0.2,0.3),480.866609,480.310680,159.486824
stag0(0.5,0.3),379.059097,379.889530,161.392700
stag1(0.5,0.3),339.317451,399.166012,160.783794
stag2(0.5,0.3),311.547726,402.105698,133.126092
stride1,185.978383,113.254431,41.807751
stride2,145.731268,251.833358,70.815144
stride4,263.598357,426.569383,100.537859
stride8,469.695751,833.042832,220.231995
rand0,544.464284,419.671822,148.142381
rand1,410.369485,452.285549,119.135624
rand2,503.774911,556.012058,164.092844
randbij0,414.077620,599.039325,192.766311
randbij1,408.831217,644.391547,191.894603
randbij2,477.052818,585.687471,206.436921
randx2,529.781943,532.256818,184.104941
randx3,599.058735,489.226123,179.537857
randx4,560.374585,473.561397,167.845209
hotspot,380.554302,472.666707,118.960957
